kartez,family,genus,species,subspecies_variety,common name,photosynthetic_pathway,life_cycle,life_form,native,path,a_p,g_f,apgf
DRCUC,Brassicaceae,Draba,cuneifolia,var. cuneifolia,wedgeleaf draba,C3,a,H,y,C3,a,f,a_f
DRGL5,Caryophyllaceae,Drymaria,glandulosa,,Fendler's drymary,,a,H,y,C3,a,f,a_f
DYPA,Asteraceae,Dyssodia,papposa,,fetid marigold,,a,H,y,C3,a,f,a_f
ECCOC,Cactaceae,Echinocereus,coccineus,var. coccineus,scarlet hedgehog cactus,CAM,p,S/su,y,CAM,p,s,p_s
ECCR,Poaceae,Echinochloa,crus-galli,,barnyardgrass,C4,a,G,y,C4,a,g,a_g
ECCRM,Poaceae,Echinochloa,crus-pavonis,var. macera,gulf cockspur grass,C4,a,G,y,C4,a,g,a_g
ECFE,Cactaceae,Echinocereus,fendleri,,pinkflower hedgehog cactus,CAM,p,S/su,y,CAM,p,s,p_s
ECFEF3,Cactaceae,Echinocereus,fendleri,subsp. fendleri,pinkflower hedgehog cactus,CAM,p,S/su,y,CAM,p,s,p_s
ECIN2,Cactaceae,Ecinomastus,intertextus,,white fishhook cactus,CAM,p,S/su,y,CAM,p,s,p_s
ECPR,Asteraceae,Eclipta,prostrata,,false daisy,,ap,H,y,C3,p,f,p_f
ECVI2,Cactaceae,Echinocereus,viridiflorus,,nylon hedgehog cactus,CAM,p,S/su,y,CAM,p,s,p_s
ELAN,Elaeagnaceae,Elaeagnus,angustifolia,,Russian olive,C3,p,T/S,y,C3,p,t,p_t
ELEL5,Poaceae,Elymus,elymoides,,squirreltail,,p,G,y,C3,p,g,p_g
ELPA3,Cyperaceae,Eleocharis,palustris,,common spikerush,C3,p,G,y,C3,p,g,p_g
ELPA4,Cyperaceae,Eleocharis,parishii,,Parish's spikerush,,p,G,y,NA,p,g,p_g
ENDE,Poaceae,Enneapogon,desvauxii,,nineawn pappusgrass,C4,p,G,y,C4,p,g,p_g
EPCI,Onagraceae,Epilobium,ciliatum,,fringed willowherb,C3,p,H,y,C3,p,f,p_f
EPTO,Ephedraceae,Ephedra,torreyana,,Torrey's jointfir,C3,p,ss/S,y,C3,p,s,p_s
EPVI,Ephedraceae,Ephedra,viridis,,mormon tea,,p,S,y,C3,p,s,p_s
EPWI2,Scrophulariaceae,Epixiphium,wislizeni,,ballonbush,,p,V/H,y,C3,p,f,p_f
EQLA,Equisetaceae,Equisetum,laevigatum,,smooth horsetail,C3,p,H,y,C3,p,f,p_f
ERAB2,Polygonaceae,Eriogonum,abertianum,,Abert's buckwheat,C3,a,H,y,C3,a,f,a_f
ERAN4,Polygonaceae,Eriogonum,annuum,,annual buckwheat,,ab ,H,y,C3,a,f,a_f
ERAS2,Brassicaceae,Erysimum,asperum,,western wallflower,,bp,H,y,C3,p,f,p_f
ERBEB,Asteraceae,Erigeron,bellidiastrum,var. bellidiastrum,western daisy fleabane,C3,a,H,y,C3,a,f,a_f
ERCA14,Brassicaceae,Erysimum,capitatum,,sanddune wallflower,,bp,H,y,C3,p,f,p_f
ERCE2,Polygonaceae,Eriogonum,cernuum,,nodding buckwheat,,a,H,y,C3,a,f,a_f
ERCO28,Asteraceae,Erigeron,colomexicanus,,running fleabane,,b,H,y,NA,a,f,a_f
ERDI2,Polemoniaceae,Eriastrum,diffusum,,miniature woollystar,,a,H,y,C3,a,f,a_f
ERDI4,Asteraceae,Erigeron,divergens,,spreading fleabane,C3,bp,H,y,C3,p,f,p_f
EREF,Polygonaceae,Eriogonum,effusum,,spreading buckwheat,,p,S/ss,y,C3,p,s,p_s
ERFL,Asteraceae,Erigeron,flagellaris,,trailing fleabane,C3,b,H,y,C3,a,f,a_f
ERHA,Polygonaceae,Eriogonum,havardii,,Harvard's buckwheat,,p,H,y,C3,p,f,p_f
ERIN,Poaceae,Eragrostis,intermedia,,plains lovegrass,C4,p,G,y,C4,p,g,p_g
ERIN7,Brassicaceae,Erysimum,inconspicuum,,shy wallflower,,bp,H,y,C3,p,f,p_f
ERJA,Polygonaceae,Eriogonum,jamesii,,James' buckwheat,C3,p,ss/H,y,C3,p,f,p_f
ERJAJ,Polygonaceae,Eriogonum,jamesii,var. jamesii,James' buckwheat,C3,p,ss/H,y,C3,p,f,p_f
ERLE10,Polygonaceae,Eriogonum,leptophyllum,,slenderleaf buckwheat,,p,ss/H,y,C3,p,f,p_f
ERME,Poaceae,Eragrostis,mexicana,,Mexican lovegrass,C4,a,G,y,C4,a,g,a_g
ERNAN3,Asteraceae,Ericameria,nauseosa,subsp. nauseosa ,rubber rabbitbrush,,p,S/ss,y,NA,p,s,p_s
ERPE,Poaceae,Eragrostis,pectinacea,,tufted lovegrass,,ap,G,y,C4,p,g,p_g
ERPI5,Poaceae,Erioneuron,pilosum,,hairy woollygrass,C4,p,G,y,C4,p,g,p_g
ERPO4,Polygonaceae,Eriogonum,polycladon,,sorrel buckwheat,,a,H,y,C3,a,f,a_f
ERRO2,Polygonaceae,Eriogonum,rotundifolium,,roundleaf buckwheat,C3,a,H,y,C3,a,f,a_f
ERTE13,Geraniaceae,Erodium,texanum,,Texas storks bill,,ab,H,y,C3,a,f,a_f
ERWR,Polygonaceae,Eriogonum,wrightii,,bastardsage,C3,p,S/ss/H,y,C3,p,s,p_s
ESVIV,Cactaceae,Escobaria,vivipara ,,spinystar,CAM,p,S/su,y,CAM,p,s,p_s
EUEX4,Euphorbiaceae,Euphorbia,exstipulata,,squareseed spurge,,a,H,y,C3,a,f,a_f
EVNU,Convolvulaceae,Evolvulus,nuttallianus,,shaggy dwarf morning-glory,C3,p,ss/H,y,C3,p,f,p_f
FAPA,Rosaceae,Fallugia,paradoxa,,Apache plume,C3,p,S,y,C3,p,s,p_s
FEAR2,Poaceae,Festuca,arizonica,,Arizona fescue,C3,p,G,y,C3,p,g,p_g
FECA6,Poaceae,Festuca,calligera,,southwest fescue,,p,G,y,C3,p,g,p_g
FERU,Hydrangeaceae,Fendlera,rupicola,,cliff fendlerbush,,p,S,y,C3,p,s,p_s
FLCA,Asteraceae,Flaveria,campestris,,alkali yellowtops ,,a,H,y,C4,a,f,a_f
FOSP2,Fouquieriaceae,Fouquieria,splendens,,ocotillo,C3,p,S,y,C3,p,s,p_s
FRJA,Frankeniaceae,Frankenia,jamesii,,James' seaheath,,p,S/ss,y,C3,p,s,p_s
FRVE2,Oleaceae,Fraxinus,velutina,,velvet ash,C3,p,T,y,C3,p,t,p_t
FUCR,Asclepiadaceae,Funastrum,crispum,,,,p,V/H,y,C3,p,f,p_f
FUCYH,Asclepiadaceae,Funastrum,cynanchoides,subsp. heterophyllum,Hartweg's twinevine,,p,H,y,C3,p,f,p_f
GACO5,Onagraceae,Gaura,coccinea,,scarlet beeblossom,,p,ss/H,y,C3,p,f,p_f
GAPI,Asteraceae,Gaillardia,pinnatifida,,red dome blanketflower,,p,ss/H,y,C3,p,f,p_f
GAPU,Asteraceae,Gaillardia,pulchella,,firewheel,,abp,ss/H,y,C3,p,f,p_f
GAPUP2,Asteraceae,Gaillardia,pulchella,var. pulchella,Indian blanket,,abp,ss/H,y,NA,p,f,p_f
GASUN,Onagraceae,Gaura,suffulta,subsp. nealleyi,Nealley's kisses,,a,H,y,C3,a,f,a_f
GATR2,Rubiaceae,Galium,trifidum,,threepetal bedstraw,,p,V/H,y,NA,p,f,p_f
GAWR3,Garryaceae,Garrya,wrightii,,Wright's silktassel,C3,p,T/S,y,C3,p,t,p_t
GIFL,Polemoniaceae,Gilia,flavocincta,,lesser yellowthroat gilia,C3,a,H,y,C3,a,f,a_f
GIME,Polemoniaceae,Gilia,mexicana,,El Paso gilia,,a,H,y,C3,a,f,a_f
GIRI3,Polemoniaceae,Giliastrum,rigidula,,bluebowls,,ap,ss/H,y,C3,p,f,p_f
GISI,Polemoniaceae,Gilia,sinuata,,rosy gilia,,a,H,y,C3,a,f,a_f
GLBI2,Verbenaceae,Glandularia,bipinnatifida,,Dakota mock vervain,,ap,H,y,C3,p,f,p_f
GLBIB,Verbenaceae,Glandularia,bipinnatifida,var. bipinnatifida,Dakota mock vervain,,ap,H,y,C3,p,f,p_f
GLBIC,Verbenaceae,Glandularia,bipinnatifida,var. ciliata,Davis Mountina mock vervain,,ap,H,y,C3,p,f,p_f
GLLE3,Fabaceae,Glycyrrhiza,lepidota,,American licorice,,p,H,y,C3,p,f,p_f
GLSP,Crossosomataceae,Glossopetalon,spinescens,,spiny greasebush,,p,S/ss,y,NA,p,s,p_s
GLWR,Verbenaceae,Glandularia,bipinnatifida,var. ciliata,Davis Moutnain mock vervain,,ap,H,y,C3,p,f,p_f
GRCL,Cactaceae,Grusonia,clavata,,club cholla,CAM,p,S/su,y,CAM,p,s,p_s
GRNUA,Asteraceae,Grindelia,nuda,var. aphanactis,curlytop gumweed,,abp,H,y,C3,p,f,p_f
GRNUN,Asteraceae,Grindelia,nuda,var. nuda,curlytop gumweed,,abp,H,y,NA,p,f,p_f
GUSA2,Asteraceae,Gutierrezia,sarothrae,,broom snakeweed,C3,p,S/ss/H,y,C3,p,s,p_s
GUSP,Asteraceae,Gutierrezia,sphaerocephala,,roundleaf snakeweed,C3,ap,ss/H,y,NA,p,f,p_f
GUTEG,Asteraceae,Gutierrezia,texana,var. glutinosa,sticky snakeweed,C3,ap,ss/H,y,C3,p,f,p_f
GUWR,Asteraceae,Gutierrezia,wrightii,,Wright's snakeweed,C3,p,ss/H,y,C3,p,f,p_f
HAPI2,Boraginaceae,Hackelia,pinetorum,,Livermore stickseed,,bp,H,y,C3,p,f,p_f
HEAN3,Asteraceae,Helianthus,annuus,,common sunflower,C3,a,H,y,C3,a,f,a_f
HECI,Asteraceae,Helianthus,ciliaris,,Texas blueweed,C3,p,H,y,C3,p,f,p_f
HECO5,Boraginaceae,Heliotropium,convolvulaceum,,phlox heliotrope,,a,H,y,C3-C4,a,f,a_f
HECU3,Boraginaceae,Heliotropium,curassavicum,,salt heliotrope,,ap,ss/H,y,NA,p,f,p_f
HECUC2,Boraginaceae,Heliotropium,curassavicum,var. curassavicum,salt heliotrope,,ap,ss/H,y,C3,p,f,p_f
HEDR,Lamiaceae,Hedeoma,drummondii,,Drummond's false pennyroyal,,abp,H,y,C3,p,f,p_f
HEFUF,Asteraceae,Heterotheca,fulcrata,var. fulcrata,rockyscree false goldenaster,,p,ss/H,y,NA,p,f,p_f
HEMUN,Asteraceae,Heliomeris,multiflora,var. nevadensis,Nevada goldeneye,C3,p,H,y,NA,p,f,p_f
HENA,Lamiaceae,Hedeoma,nana,,dwarf false pennyroyal,,ap,H,y,C3,p,f,p_f
HENE5,Poaceae,Hesperostipa,neomexicana,,New Mexico feathergrass,,p,G,y,C3,p,g,p_g
HENIC,Asteraceae,Helianthus,niveus,subsp. canescens,showy sunflower,C3,ap,ss/H,y,NA,p,f,p_f
HEOB,Lamiaceae,Hedeoma,oblongifolia,,oblongleaf false pennyroyal,,p,H,y,C3,p,f,p_f
HEPE,Asteraceae,Helianthus,petiolaris,,prairie sunflower,C3,a,H,y,NA,a,f,a_f
HEPEF,Asteraceae,Helianthus,petiolaris,subsp. fallax,prairie sunflower,C3,a,H,y,C3,a,f,a_f
HEPEP,Asteraceae,Helianthus,petiolaris,subsp. petiolaris,prairie sunflower,C3,a,H,y,C3,a,f,a_f
HEPI2,Asteraceae,Heterosperma,pinnatum,,wingpetal,,a,H,y,NA,a,f,a_f
HERUR2,Saxifragaceae,Heuchera,rubescens,var. rubescens,pink alumroot,,p,H,y,C3,p,f,p_f
HEVI4,Asteraceae,Heterotheca,villosa,,hairy false goldenaster,C3,p,ss/H,y,NA,p,f,p_f
HEVIM3,Asteraceae,Heterotheca,villosa,var. minor,hairy false goldenaster,C3,p,ss/H,y,NA,p,f,p_f
HEVIV,Asteraceae,Heterotheca,villosa,var. villosa,hairy false goldenaster,C3,p,ss/H,y,C3,p,f,p_f
HODR,Fabaceae,Hoffmannseggia,drepanocarpa,,sicklepod holdback,,p,ss/H,y,C3,p,f,p_f
HOGL2,Fabaceae,Hoffmannseggia,glauca,,Indian rushpea,,p,ss/H,y,C3,p,f,p_f
HOJU,Poaceae,Hordeum,jubatum,,foxtail barley,C3,p,G,y,C3,p,g,p_g
HORU,Rubiaceae,Houstonia,rubra,,red bluet,,p,H,y,C3,p,f,p_f
HYBR7,Asteraceae,Hymenoxys,brachyactis,,East View rubberweed,,p,H,y,NA,p,f,p_f
HYFI,Asteraceae,Hymenopappus,filifolius,,fineleaf hymenopappus,,p,ss/H,y,NA,p,f,p_f
HYFIC,Asteraceae,Hymenopappus,filifolius,var. cinereus,fineleaf hymenopappus,,p,ss/H,y,C3,p,f,p_f
HYFL,Asteraceae,Hymenopappus,flavescens,,collegeflower,,b,H,y,NA,a,f,a_f
HYFLC,Asteraceae,Hymenopappus,flavescens,var. canotomentosus,collegeflower,,b,H,y,C3,a,f,a_f
HYFLF,Asteraceae,Hymenopappus,flavescens,var. flavescens,collegeflower,,b,H,y,NA,a,f,a_f
HYMO,Asteraceae,Hymenoclea,monogyra,,singlewhorl burrobush,,p,S/ss,y,C3,p,s,p_s
HYOD,Asteraceae,Hymenoxys,odorata,,bitter rubberweed,C3,a,H,y,C3,a,f,a_f
HYRIF,Asteraceae,Hymenoxys,richardsonii,var. floribunda,Colorado rubberweed,,p,ss/H,y,C3,p,f,p_f
HYVE,Violaceae,Hybanthus,verticillatus,,babyslippers,,p,H,y,C3,p,f,p_f
HYVE2,Apiaceae,Hydrocotyle,verticillata,,whorled marshpennywort,,p,H,y,C3,p,f,p_f
IPCO2,Convolvulaceae,Ipomoea,costellata,,crestrib morning-glory,,a,V/H,y,C3,a,f,a_f
IPCR,Convolvulaceae,Ipomoea,cristulata,,Trans-Pecos morning-glory,,a,V/H,y,C3,a,f,a_f
IPLA2,Polemoniaceae,Ipomopsis,laxiflora,,iron ipomopsis,,ab,H,y,C3,a,f,a_f
IPLO2,Polemoniaceae,Ipomopsis,longiflora,,flaxflower ipomopsis,,ab,H,y,C3,a,f,a_f
IPMU3,Polemoniaceae,Ipomopsis,multiflora,,manyflowered ipomopsis,,p,ss/H,y,C3,p,f,p_f
IPPU4,Polemoniaceae,Ipomopsis,pumila,,dwarf ipomopsis,,a ,H,y,C3,a,f,a_f
ISPL,Asteraceae,Isocoma,pluriflora,,southern goldenbush,,p,ss/H,y,C3,p,f,p_f
JUME4,Juncaceae,Juncus,mexicanus,,Mexican rush,C3,p,G,y,C3,p,g,p_g
JUMO,Cupressaceae,Juniperus,monosperma,,oneseed juniper,C3,p,T/ss,y,C3,p,s,p_s
JUTO,Juncaceae,Juncus,torreyi,,Torrey's rush,C3,p,G,y,C3,p,g,p_g
KAHI,Zygophyllaceae,Kallstroemia,hirsutissima,,,,a,H,y,C4,a,f,a_f
KAPA,Zygophyllaceae,Kallstroemia,parviflora,,warty caltrop,C4,a,H,y,C4,a,f,a_f
KOMA,Poaceae,Koeleria,macrantha,,prairie Junegrass,C4,p,G,y,C3,p,g,p_g
KRLA,Krameriaceae,Krameria,lanceolata,,trailing krameria,C3,p,ss/H,y,C3,p,f,p_f
KRLA2,Chenopodiaceae,Krascheninnikovia,lanata,,winterfat,C3,p,S/ss,y,C3,p,s,p_s
LACO13,Asteraceae,Laennecia,coulteri,,Coulter's horseweed,,ab,H,y,C3,a,f,a_f
LAOC3,Boraginaceae,Lappula,occidentalis,,flatspine stickseed,C3,ap,H,y,NA,p,f,p_f
LAOCC,Boraginaceae,Lappula,occidentalis,var. cupulata,flatspine stickseed,C3,ab,H,y,C3,a,f,a_f
LAOCO,Boraginaceae,Lappula,occidentalis,var. occidentalis,flatspine stickseed,C3,ab,H,y,C3,a,f,a_f
LATR2,Zygophyllaceae,Larrea,tridentata,,creosote bush,C3,p,S,y,C3,p,s,p_s
LEAL4,Brassicaceae,Lepidium,alyssoides,,mesa pepperweed,C3,bp,ss/H,y,C3,p,f,p_f
LEALA4,Brassicaceae,Lepidium,alyssoides,var. angustifolium,mesa pepperweed,C3,bp,H,y,C3,p,f,p_f
LEDE,Brassicaceae,Lepidium,densiflorum,,common pepperweed,C3,ab,H,y,C3,a,f,a_f
LEDE23,Asteraceae,Leuciva,dealbata,,woolly marsh elder,,p,H,y,NA,p,f,p_f
LEDU,Poaceae,Leptochloa,dubia,,mucronate sprangletop,C4,p,G,y,C4,p,g,p_g
LEFE,Brassicaceae,Lesquerella,fendleri,,Fendler's bladderpod,C3,p,H,y,C3,p,f,p_f
LEFUF,Poaceae,Leptochloa,fusca,subsp. fascicularis,bearded sprangletop,,a,G,y,NA,a,g,a_g
LEGO,Brassicaceae,Lesquerella,gordonii,,Gordon's bladderpod,C3,abp,H,y,C3,p,f,p_f
LELA,Brassicaceae,Lepidium,lasiocarpum,,shaggyfruit pepperweed,C3,ab,H,y,C3,a,f,a_f
LEMO2,Brassicaceae,Lepidium,montanum,,mountain pepperweed,C3,bp,ss/H,y,C3,p,f,p_f
LEOV,Brassicaceae,Lesquerella,ovalifolia ,,roundleaf bladderpod ,,p,H,y,C3,p,f,p_f
LEPI3,Brassicaceae,Lesquerella,pinetorum,,White Mountain bladderpod,,p,H,y,C3,p,f,p_f
LEVIM,Brassicaceae,Lepidium,virginicum,var. medium,intermediate pepperweed,C3,abp,H,y,C3,p,f,p_f
LIAR3,Linaceae,Linum,aristatum,,bristle flax,,a,H,y,C3,a,f,a_f
LIAU4,Linaceae,Linum,australe,,southern flax,,a,H,y,C3,a,f,a_f
LIAUA,Linaceae,Linum,australe,var. australe,southern flax,,a,H,y,C3,a,f,a_f
LICO7,Boraginaceae,Lithospermum,cobrense,,smooththroat stoneseed,C3,p,H,y,C3,p,f,p_f
LIIN2,Boraginaceae,Lithospermum,incisum,,narrowleaf stoneseed,C3,p,H,y,C3,p,f,p_f
LILI4,Plumbaginaceae,Limonium,limbatum,,Trans-Pecos sea lavender,,p,H,y,C3,p,f,p_f
LIMU3,Boraginaceae,Lithospermum,multiflorum,,manyflowered stoneseed,C3,p,H,y,C3,p,f,p_f
LIPU4,Linaceae,Linum,puberulum,,plains flax,,a,H,y,C3,a,f,a_f
LISC5,Linaceae,Linum,schiedeanum,,Schied's flax,,p,H,y,C3,p,f,p_f
LOCA2,Campanulaceae,Lobelia,cardinalis,,cardinalflower,C3,p,H,y,C3,p,f,p_f
LOGR4,Fabaceae,Lotus,greenei,,Greene's bird's-foot trefoil,,p,H,y,C3,p,f,p_f
LOPL2,Fabaceae,Lotus,plebeius,,New Mexico bird's-foot trefoil,,p,H,y,C3,p,f,p_f
LOWR,Fabaceae,Lotus,wrightii,,Wright's deervetch,,p,H,y,C3,p,f,p_f
LUBR2,Fabaceae,Lupinus,brevicaulis,,shortstem lupine,,a,H,y,C3,a,f,a_f
LUKIA,Fabaceae,Lupinus,kingii,var. argillaceus,King's lupine,,a,H,y,C3,a,f,a_f
LYAM,Lamiaceae,Lycopus,americanus,,American water horehound,C3,p,H,y,C3,p,f,p_f
LYAS,Lamiaceae,Lycopus,asper,,rough bugleweed,C3,p,H,y,C3,p,f,p_f
LYPA,Solanaceae,Lycium,pallidum,,pale desert thorn,,p,S,y,C3,p,s,p_s
LYPH,Poaceae,Lycurus,phleoides,,common wolfstail,C4,p,G,y,C4,p,g,p_g
LYTO,Solanaceae,Lycium,torreyi,,Torrey wolfberry,,p,S,y,C3,p,s,p_s
MAAN9,Scrophulariaceae,Maurandella,antirrhiniflora,,roving sailor,,p,V/H,y,C3,p,f,p_f
MABIB,Asteraceae,Machaeranthera,bigelovii,var. bigelovii,Bigelow's tansyaster,,bp,H,y,NA,p,f,p_f
MACAC3,Asteraceae,Machaeranthera,canescens,subsp. canescens var. canescens,hoary tansyaster,,abp,H,y,NA,p,f,p_f
MAFE,Asteraceae,Malacothrix,fendleri,,Fendler's desertdandelion,C3,a,H,y,C3,a,f,a_f
MAGR10,Asteraceae,Machaeranthera,gracilis,,slender goldenweed,C3,a,H,y,C3,a,f,a_f
MAHA4,Berberidaceae,Mahonia,haematocarpa,,red barberry,,p,S,y,C3,p,s,p_s
MALE3,Malvaceae,Malvella,leprosa,,alkali mallow,,p,H,y,C3,p,f,p_f
MAPIP,Asteraceae,Machaeranthera,pinnatifida,subsp. pinnatifida,lacy tansyaster,C3,p,ss/H,y,C3,p,f,p_f
MARE11,Berberidaceae,Mahonia,repens,,creeping barberry,,p,S/ss,y,C3,p,s,p_s
MATA2,Asteraceae,Machaeranthera,tanacetifolia,,tanseyleaf aster,C3,ab,H,y,C3,a,f,a_f
MEAL6,Loasaceae,Mentzelia,albicaulis,,whitestem blazingstar,C3,a,H,y,C3,a,f,a_f
MEAR4,Lamiaceae,Mentha,arvensis,,wild mint,,p,H,y,C3,p,f,p_f
MEHU,Loasaceae,Mentzelia,humilis,,gypsum blazingstar,C3,ap,H,y,C3,p,f,p_f
MELA,Loasaceae,Mentzelia,laciniata,,cutleaf blazingstar,,p,H,y,C3,p,f,p_f
MELE2,Asteraceae,Melampodium,leucanthum,,plains blackfoot,C3,p,ss/H,y,C3,p,f,p_f
MEMU3,Loasaceae,Mentzelia,multiflora,,Adonis blazingstar,,bp,H,y,C3,p,f,p_f
MEMUM2,Loasaceae,Mentzelia,multiflora,var. multiflora,Adonis blazingstar,,bp,H,y,C3,p,f,p_f
MEOF,Fabaceae,Melilotus,officinalis,,yellow sweetclover,C3,abp,H,y,C3,p,f,p_f
MEOL,Loasaceae,Mentzelia,oligosperma,,chickenthief,,p,H,y,C3,p,f,p_f
MEPE6,Loasaceae,Mentzelia,perennis,,perennial blazingstar,,p,H,y,C3,p,f,p_f
MESC,Oleaceae,Menodora,scabra,,rough menodora,C3,p,ss/H,y,C3,p,f,p_f
MIAL4,Nyctaginaceae,Mirabilis,albida,,white four o'clock,,p,ss/H,y,C3,p,f,p_f
MIGL3,Nyctaginaceae,Mirabilis,glabra,,Smooth four o'clock,,p,H,y,C3,p,f,p_f
MILI3,Nyctaginaceae,Mirabilis,linearis,,narrowleaf four o'clock,C3,p,H,y,C3,p,f,p_f
MIMU,Nyctaginaceae,Mirabilis,multiflora,,Colorado four o'clock,C3,p,H,y,C3,p,f,p_f
MIOB2,Caryophyllaceae,Minuartia,obtusiloba,,twinflower sandwort,,p,H,y,NA,p,f,p_f
MIOX,Nyctaginaceae,Mirabilis,oxybaphoides,,smooth spreading four o'clock,C3,p,H,y,C3,p,f,p_f
MIPU6,Nyctaginaceae,Mirabilis,pumila,,dwarf four o'clock,C3,p,H,y,C3,p,f,p_f
MUAR,Poaceae,Muhlenbergia,arenacea,,ear muhly,C4,p,G,y,C4,p,g,p_g
MUAR2,Poaceae,Muhlenbergia,arenicola,,sand muhly,,p,G,y,C4,p,g,p_g
MUAS,Poaceae,Muhlenbergia,asperifolia,,Parodi scratchgrass,,p,G,y,C4,p,g,p_g
MUFR,Poaceae,Muhlenbergia,fragilis,,delicate muhly,,a,G,y,C4,a,g,a_g
MUMO,Poaceae,Muhlenbergia,montana,,mountain muhly,,p,G,y,C4,p,g,p_g
MUPA2,Poaceae,Muhlenbergia,pauciflora,,New Mexico muhly,,p,G,y,C4,p,g,p_g
MUPO2,Poaceae,Muhlenbergia,porteri,,bush muhly,C4,p,G,y,C4,p,g,p_g
MURE,Poaceae,Muhlenbergia,repens,,creeping muhly,,p,G,y,C4,p,g,p_g
MURI2,Poaceae,Muhlenbergia,rigens,,deergrass,,p,G,y,C4,p,g,p_g
MUSE,Poaceae,Muhlenbergia,setifolia,,curlyleaf muhly,,p,G,y,C4,p,g,p_g
MUSQ3,Poaceae,Munroa,squarrosa,,false buffalograss,,a,G,y,NA,a,g,a_g
MUTE4,Poaceae,Muhlenbergia,tenuifolia,,slender muhly,,ap,G,y,C4,p,g,p_g
MUTO2,Poaceae,Muhlenbergia,torreyi,,ring muhly,,p,G,y,C4,p,g,p_g
NACA,Hydrophyllaceae,Nama,carnosum,,sand fiddleleaf,,p,ss/H/su,y,C3,p,f,p_f
NADI,Hydrophyllaceae,Nama,dichotomum,,wishbone fiddleleaf,,a,H,y,C3,a,f,a_f
NAHI,Hydrophyllaceae,Nama,hispidum,,bristly nama,C3,a,H,y,C3,a,f,a_f
NECA3,Brassicaceae,Nerisyrenia,camporum,,bicolor fanmustard,,p,ss/H,y,C3,p,f,p_f
NELI,Brassicaceae,Nerisyrenia,linearifolia,,White Sands fanmustard,,p,ss/H,y,C3,p,f,p_f
NOMI,Liliaceae,Nolina,microcarpa,,sacahuista,,p,S/ss,y,C3,p,s,p_s
NOST,Pteridaceae,Notholaena,standleyi,,star cloak fern,,P,H,y,C3,p,f,p_f
OEAL,Onagraceae,Oenothera,albicaulis,,whitest evening primrose,C3,a,H,y,C3,a,f,a_f
OECA10,Onagraceae,Oenothera,caespitosa,,tufted evening primrose,C3,p,ss/H,y,C3,p,f,p_f
OECAC2,Onagraceae,Oenothera,caespitosa,subsp. caespitosa,tufted evening primrose,C3,p,ss/H,y,C3,p,f,p_f
OECO2,Onagraceae,Oenothera,coronopifolia,,crownleaf evening primrose,C3,p,H,y,C3,p,f,p_f
OEELH,Onagraceae,Oenothera,elata,subsp. hirsutissima,Hooker's evening primrose,C3,bp,H,y,C3,p,f,p_f
OEPA,Onagraceae,Oenothera,pallida,,pale evening primrose,C3,bp,H,y,C3,p,f,p_f
OEPAG,Onagraceae,Oenothera,pallida,subsp. gypsophila,whitepole evening primrose,C3,p,H,y,C3,p,f,p_f
OEPAR,Onagraceae,Oenothera,pallida,subsp. runcinata,pale evening primrose,C3,p,H,y,C3,p,f,p_f
OEPAT,Onagraceae,Oenothera,pallida,subsp. trichocalyx,pale evening primrose,C3,bp,H,y,C3,p,f,p_f
OPEN3,Cactaceae,Opuntia,engelmannii,,cactus apple,CAM,p,S/su,y,CAM,p,s,p_s
OPFR,Cactaceae,Opuntia,fragilis,,brittle pricklypear,CAM,p,S/su,y,CAM,p,s,p_s
OPMA8,Cactaceae,Opuntia,macrocenta ,,purple pricklypear,CAM,p,T/S/su,y,CAM,p,s,p_s
OPPH,Cactaceae,Opuntia,phaeacantha,,tulip pricklypear,CAM,p,S/su,y,CAM,p,s,p_s
OPPO,Cactaceae,Opuntia,polyacantha,,plains pricklypear,CAM,p,S/su,y,CAM,p,s,p_s
OPPOE,Cactaceae,Opuntia,polyacantha,var. erinacea,grizzlybear pricklypear,CAM,p,S/su,y,CAM,p,s,p_s
OPPOP,Cactaceae,Opuntia,polyacantha,var. polyacantha,hairspine pricklypear,CAM,p,S/su,y,CAM,p,s,p_s
OPUNT,Cactaceae,Opuntia,sp,,prickly pear cactus,CAM,p,S/su,y,CAM,p,s,p_s
ORLUM,Orobanchaceae,Orobanche,ludoviciana,subsp. multiflora,manyflowered broomrape,,a,H/rp,y,C3,a,f,a_f
OXVI,Oxalidaceae,Oxalis,violacea,,violet woodsorrel,C3,p,H,y,C3,p,f,p_f
PACA6,Poaceae,Panicum,capillare,,witchgrass,C4,a,G,y,C4,a,g,a_g
PACO11,Asteraceae,Parthenium,confertum,,Gray's feverfew,,abp,ss/H,y,NA,p,f,p_f
PAFI4,Fabaceae,Parryella,filifolia,,common dunebroom,,p,S,y,C3,p,s,p_s
PAHA,Poaceae,Panicum,hallii,,Hall's panicgrass,,p,G,y,C4,p,g,p_g
PAIN2,Asteraceae,Parthenium,incanum,,mariola,C3,p,S,y,C3,p,s,p_s
PAJA,Caryophyllaceae,Paronychia,jamesii,,James' nailwort,,p,ss/H,y,C3,p,f,p_f
PAOB,Poaceae,Panicum,obtusum,,vine mesquite,C4,p,G,y,C4,p,g,p_g
PAQU2,Vitaceae,Parthenocissus,quinquefolia,,Virginia creeper,C3,p,WV,y,C3,p,s,p_s
PASM,Poaceae,Pascopyrum,smithii,,western wheatgrass,,p,G,y,C3,p,g,p_g
