season,site,kartez,allometry,metric,value,n_zero_mean,biomass_mean,n_quads
F,G,MAGR10,BM,cv,3.872983346207417,14,0.01670166666666666,1
F,G,MAPIP,BM,cv,3.286931607159052,12.777777777777779,2.0568253333333333,9
F,G,MUAR2,BM,cv,3.031255972547097,10,2.6895142443013373,5
F,G,MUSQ3,BM,cv,3.7103820909873826,13.4,0.0688716,5
F,G,OECA10,BM,cv,3.872983346207417,14,0.012092666666666661,7
F,G,OPPH,BM,cv,2.061983239679877,11,9.750533333333331,1
F,G,PLJA,BM,cv,3.0833120515394334,11.75,1.7443963267818867,4
F,G,PLPA2,BM,cv,3.6779820465547814,13.619047619047619,0.002216317460317459,21
F,G,POOL,BM,cv,3.872983346207417,14,0.00572833333333333,1
F,G,SAAB,BM,cv,3.2651064422035896,12,0.24453,2
F,G,SATR12,BM,cv,3.628595466128254,13.23076923076923,2.942021794871795,13
F,G,SCBR2,BM,cv,2.0260732108834842,8,1.919279,2
F,G,SOEL,BM,cv,3.872983346207417,14,0.01317866666666666,1
F,G,SPORO,BM,cv,1.4580207617872374,6,8.044256274509804,17
F,G,SPPO6,BM,cv,2.8514129407566595,11,0.4735928,15
F,G,STEM,BM,cv,1.716516405813988,11,0.208,1
F,G,THAC,BM,cv,3.872983346207417,14,3.5600000000000003e-4,1
F,G,TILA2,BM,cv,3.619212001326565,12.5625,0.6698449999999999,16
F,G,TOAN,BM,cv,3.872983346207417,14,0.04706833333333334,2
F,P,ACNE,BM,cv,2.851631151953128,11.837209302325581,0.02538827906976744,43
F,P,AGHE5,BM,cv,2.7778547003092955,12.25,1.0556348333333334,4
F,P,AMPA,BM,cv,3.4657067658073997,13.3125,0.05228875,16
F,P,ARAD,BM,cv,3.872983346207417,14,0.00735,2
F,P,ARFEF,BM,cv,3.2424079394182885,12.625,0.03283191666666666,32
F,P,ARIST,BM,cv,2.906500150691989,11.5,1.3633498167996083,16
F,P,ARLUL2,BM,cv,1.7473321626279805,5.5,1.5081383333333334,2
F,P,ASTRA,BM,cv,2.8284695919017167,10.92156862745098,0.050201032679738564,51
F,P,BAABA,BM,cv,3.872983346207417,14,0.0358,1
F,P,BADI,BM,cv,2.322616144700639,8.128571428571428,0.2568810857142857,70
F,P,BAPT,BM,cv,1.225694642459565,4,13.0524,1
F,P,BOBA2,BM,cv,3.195710674433729,11.555555555555555,0.12512995555555556,9
F,P,BOCU,BM,cv,2.2194676606477435,7.7272727272727275,4.453280385858584,33
F,P,BOER4,BM,cv,1.0958670507370678,2.537037037037037,23.803922814814815,54
F,P,BOGR2,BM,cv,1.8383615107894118,6.287356321839081,6.231211463415838,87
F,P,BOHI2,BM,cv,3.2097644349502525,11.779661016949152,0.12441736271186461,59
F,P,BOSP,BM,cv,3.872983346207417,14,0.01475,1
F,P,BRCA3,BM,cv,3.3440172072644474,12.4,6.690012,5
F,P,CHCHC3,BM,cv,2.597789679968922,11.35135135135135,0.12394378378378379,37
F,P,CHCO,BM,cv,3.4532751598223475,13,0.15390666666666666,1
F,P,CHCO2,BM,cv,2.8405629574968696,10.8,0.05538666666666667,5
F,P,CHER2,BM,cv,1.4177891974732397,5.666666666666667,0.41091466666666665,3
F,P,CHFE3,BM,cv,2.6970339271461823,10.51923076923077,0.16241020512820512,52
F,P,CHGR2,BM,cv,2.1853873838828646,8.764705882352942,0.06381019117647059,68
F,P,CHLA10,BM,cv,3.872983346207417,14,0.00107466666666666,1
F,P,CHRE4,BM,cv,2.933383327307058,11.63888888888889,0.03050444444444444,72
F,P,CHSE7,BM,cv,3.4387139211550406,13.083333333333334,0.04640233333333333,12
F,P,CHSES,BM,cv,2.904026053184993,11.72,0.06872558577777778,75
F,P,CINE,BM,cv,2.459927845938493,11,0.02419,1
F,P,COAR4,BM,cv,3.872983346207417,14,0.01099333333333333,1
F,P,COEQ,BM,cv,3.872983346207417,14,0.15115833333333334,4
F,P,CRCR3,BM,cv,3.8729833462074175,14,0.012341999999999992,4
F,P,CYIMI,BM,cv,3.022609139532179,11.379310344827585,30.481196229885057,29
F,P,DABR,BM,cv,3.0795723709170386,11.48,0.11993472,25
F,P,DAFO,BM,cv,0.34978653055764775,0,26.76618,1
F,P,DALEA,BM,cv,3.872983346207417,14,0.0028402738095238064,7
F,P,DEPI,BM,cv,3.546871876202367,13.714285714285714,0.008009428571428567,7
F,P,DRCUC,BM,cv,3.7636427161475696,13.8,0.001821999999999998,5
F,P,DRGL5,BM,cv,2.305743897692155,9.096153846153847,0.0233861282051282,52
F,P,ECCOC,BM,cv,2.975039016535422,9,2.0054133333333333,4
F,P,ECFEF3,BM,cv,3.8729833462074166,14,0.030868888888888883,3
F,P,ECIN2,BM,cv,3.872983346207417,14,1.3571666666666666,2
F,P,ELEL5,BM,cv,2.907451215814364,12.357142857142858,0.2553505238095238,14
F,P,ENDE,BM,cv,3.872983346207417,14,0.422,1
F,P,ERCI,BM,cv,3.5394160052279497,13.666666666666666,0.01878555555555555,3
F,P,ERCI6,BM,cv,3.3896678364978077,12.571428571428571,0.04076057142857143,7
F,P,ERDI4,BM,cv,3.872983346207417,14,0.08684733333333333,4
F,P,ERFL,BM,cv,3.276493215515262,11.8,0.081039,20
F,P,ERME,BM,cv,3.6621631361465874,13.666666666666666,0.050065277777777764,6
F,P,ERPO4,BM,cv,3.872983346207417,14,0.00759166666666666,1
F,P,ERWR,BM,cv,3.1048019394313964,11.2,0.70342064,10
F,P,EUEX4,BM,cv,3.727859687585095,13.764705882352942,0.00702005882352941,17
F,P,FUCR,BM,cv,3.491494497394681,13.444444444444445,0.12031592592592592,9
F,P,FUCYH,BM,cv,3.872983346207417,14,0.12092666666666667,2
F,P,GIME,BM,cv,3.872983346207417,14,0.00151833333333333,1
F,P,GLBI2,BM,cv,3.3193351395909994,13.28,0.030935239999999996,50
F,P,GUSA2,BM,cv,2.6701772013668092,10.533333333333333,11.095926355555555,15
F,P,GUSP,BM,cv,3.872983346207417,14,0.003297999999999995,2
F,P,HENA,BM,cv,2.761184265730621,12.333333333333334,0.14053144444444443,6
F,P,HEOB,BM,cv,3.872983346207417,14,0.05512371428571428,7
F,P,HEPI2,BM,cv,3.2565395456795008,12.944444444444445,0.07324315277777778,54
F,P,HOGL2,BM,cv,3.872983346207417,14,0.01099333333333333,1
F,P,HYVE,BM,cv,3.872983346207417,14,0.041994533333333334,5
F,P,IPCO2,BM,cv,3.872983346207417,14,0.2235324074074074,9
F,P,IPCR,BM,cv,3.3925043226715634,13.1,0.2238023333333333,10
F,P,IPLA2,BM,cv,3.872983346207417,14,0.040995000000000004,3
F,P,JUMO,BM,cv,1.7660816737987306,9.342857142857143,106.30197428571428,35
F,P,KAPA,BM,cv,2.8223492832132164,11.875,0.8032424166666666,8
F,P,LAOCO,BM,cv,3.6966990559718913,13.857142857142858,0.0018925714285714286,7
F,P,LEPI3,BM,cv,1.9686222811842833,7.264705882352941,0.07628647058823529,34
F,P,LOPL2,BM,cv,3.4742515033873143,13.4,0.0666196,15
F,P,LYPH,BM,cv,2.398542844699497,9.473684210526315,0.5888303508771929,38
F,P,MAHA4,BM,cv,3.2860947893673647,13.5,1.533,2
F,P,MAWR2,BM,cv,3.872983346207417,14,0.00159666666666666,1
F,P,MIAL4,BM,cv,3.872983346207417,14,0.305065,2
F,P,MILI3,BM,cv,2.673416260109977,10.40625,0.15209697916666667,32
F,P,MIMU,BM,cv,3.6602582692705035,13.75,0.25435825,8
F,P,MIOX,BM,cv,3.295408486926646,12.333333333333334,1.3598753333333333,3
F,P,MOCE,BM,cv,3.872983346207417,14,0.0020567499999999965,2
F,P,MUAR,BM,cv,3.872983346207416,14,0.07966666666666668,1
F,P,MUAR2,BM,cv,3.872983346207417,14,0.00440237618747227,1
F,P,MUFR,BM,cv,3.872983346207417,14,0.02658333333333333,1
F,P,MUPA2,BM,cv,2.9799053156149053,11,2.7618723999999997,8
F,P,MUPO2,BM,cv,3.872983346207417,14,1.4735911666666666,2
F,P,MUSQ3,BM,cv,3.4545865329331433,13.142857142857142,0.021863999999999998,7
F,P,MUTO2,BM,cv,1.6082688885310124,5.310344827586207,1.8831384827586206,29
F,P,"NADI",BM,cv,3.454013992393915,13.354166666666666,0.010596701388888885,48
F,P,NECA3,BM,cv,3.304675133373751,13,0.047474913580246914,27
F,P,NOMI,BM,cv,1.2613789817296062,6.5,225.3729,2
F,P,OECA10,BM,cv,3.8729833462074166,14,0.00769533333333333,3
F,P,OPEN3,BM,cv,3.2262838382054237,12.3,25.82096,10
F,P,OPMA8,BM,cv,3.872983346207417,14,9.6556,1
F,P,OPPH,BM,cv,2.592497237952273,10.657142857142857,21.213217333333336,35
F,P,OPPOP,BM,cv,3.872983346207417,14,1.5756,2
F,P,OPUNT,BM,cv,3.5250034036832743,13.6875,0.14224166666666668,16
F,P,PAHI5,BM,cv,3.872983346207417,14,0.011962499999999996,2
F,P,PEAN,BM,cv,2.7072562870397165,10.466666666666667,0.051684,75
F,P,PEBA2,BM,cv,2.074021171732485,11,0.14291333333333334,1
F,P,PEFE,BM,cv,3.872983346207417,14,0.06533333333333333,1
F,P,PELO3,BM,cv,3.3890956483970096,13.5,0.04672166666666666,2
F,P,PHHE4,BM,cv,3.5242273210845596,13.285714285714286,0.16097380952380952,7
F,P,PHHEF,BM,cv,3.1779276218531454,13.25,0.08987049999999999,4
F,P,PHLO15,BM,cv,3.872983346207417,14,0.05141875,3
F,P,PLJA,BM,cv,2.79827409712745,10.666666666666666,1.7012669479260023,6
F,P,PLPA2,BM,cv,3.74190006078463,13.666666666666666,8.238518518518519e-4,9
F,P,POFE,BM,cv,2.800168095147957,11.2,0.6172044,15
F,P,POHA5,BM,cv,3.5772134166521665,13.25,0.021215416666666667,24
F,P,POOL,BM,cv,3.2670418756038093,11.596153846153847,0.14910388846153846,52
F,P,RHTR,BM,cv,2.1914800639446734,9.6,30.157728,15
F,P,SAAB,BM,cv,2.835748369082245,11.67123287671233,0.059076986301369865,73
F,P,SASU7,BM,cv,2.801045840986918,11.26923076923077,0.08150584615384615,26
F,P,SATR12,BM,cv,3.872983346207417,14,0.016132,1
F,P,SCMU6,BM,cv,2.967497515131287,12.216216216216216,0.02665315315315315,74
F,P,SEDI3,BM,cv,3.872983346207417,14,0.1095,1
F,P,SIAL2,BM,cv,3.7780610360805955,13.923076923076923,0.00640035897435897,13
F,P,SOEL,BM,cv,2.4628914181866888,6.2,1.6041822533333332,5
F,P,SOJA,BM,cv,2.9236188908182696,12.142857142857142,0.19081285714285715,7
F,P,SPCOC,BM,cv,2.7489372645797907,11.25,0.108834,4
F,P,SPORO,BM,cv,2.7795377067946125,10.285714285714286,2.4685698253968256,21
F,P,SPPO6,BM,cv,2.8372361235293755,10.4375,0.6721049166666666,16
F,P,TEAR4,BM,cv,3.872983346207417,14,0.01099333333333333,1
F,P,THWR,BM,cv,3.622526781064257,13.526315789473685,0.06567070175438595,19
F,P,TRRA,BM,cv,3.8729833462074175,14,0.00265833333333333,1
F,P,TRRA5,BM,cv,3.872983346207417,14,0.00549666666666666,1
F,P,VINE,BM,cv,3.3453893077730905,12.75,0.75302499999999994,8
F,P,YUBA,BM,cv,1.8147664717009413,8,4.044888888888889,3
F,P,ZIGR,BM,cv,1.7626004152633876,9,0.10378666666666668,1
S,B,ALIN,BM,cv,3.872983346207417,14,0.00533333333333333,1
S,B,ALMA4,BM,cv,2.502099603281716,11.25,0.17410891666666664,4
S,B,ARAD,BM,cv,3.872983346207417,14,0.00816666666666666,1
S,B,ARIST,BM,cv,2.7164693088858645,10.842105263157896,2.8833028070175435,19
S,B,ASTRA,BM,cv,3.2846086220088817,12.1875,0.8711495833333334,16
S,B,BOER4,BM,cv,1.5234508500873012,4.375,6.441219555555556,24
S,B,BOGR2,BM,cv,0.7763532278545487,0.26666666666666666,22.61158227936508,30
S,B,BREUC2,BM,cv,3.872983346207417,14,0.02917444444444444,3
S,B,CAHA14,BM,cv,3.872983346207417,14,0.00625166666666666,1
S,B,CAWR,BM,cv,3.8729833462074175,14,0.00808333333333333,1
S,B,CHAL11,BM,cv,2.243144547156074,8,0.42681800000000003,9
S,B,CHCO2,BM,cv,2.952283493771646,12.4,0.0076333333333333305,5
S,B,CHER2,BM,cv,3.5292540691498333,13.333333333333334,0.08057777777777778,3
S,B,CHIN2,BM,cv,3.7477881670925166,13.75,0.010467916666666664,8
S,B,CHSE7,BM,cv,3.872983346207417,14,4.280000000000001e-4,1
S,B,CHSES,BM,cv,3.872983346207417,14,5.969777777777755e-4,3
S,B,CINE,BM,cv,2.8400270778370764,10,0.27199,2
S,B,COEQ,BM,cv,3.759247856213321,13,0.22506,1
S,B,CRCR3,BM,cv,3.027534206997436,12.217391304347826,0.19818747826086955,23
S,B,CYACF,BM,cv,3.872983346207417,14,0.01250333333333333,1
S,B,DAPU7,BM,cv,1.9252660538884077,8.2,0.09336839555555555,15
S,B,DEPI,BM,cv,3.1223516522362282,12.411764705882353,0.2961083529411765,17
S,B,DEWO,BM,cv,2.9052079505866018,13,0.04376166666666666,1
S,B,ECFEF3,BM,cv,2.368554649765858,11.25,0.4152433333333333,4
S,B,ECIN2,BM,cv,3.168395314449184,13,0.0637652380952381,7
S,B,ELEL5,BM,cv,3.8729833462074175,14,0.00437999999999999,1
S,B,ERAB2,BM,cv,2.6389933145587383,13,0.00646666666666666,1
S,B,ERDI2,BM,cv,3.872983346207417,14,0.00194,1
S,B,EVNU,BM,cv,1.9032953526653513,9,0.11159225,4
S,B,GACO5,BM,cv,2.065094241338985,5.833333333333333,1.7231677222222224,6
S,B,GASUN,BM,cv,3.4772144486756718,13.25,0.05981666666666667,4
S,B,GLBI2,BM,cv,3.0421934273609237,12.368421052631579,0.13510180701754385,19
S,B,GRCL,BM,cv,1.2424528445518992,4,11.51359,1
S,B,GUSA2,BM,cv,3.872983346207417,14,0.12596666666666667,1
S,B,HODR,BM,cv,1.7568640583122783,10,0.07979999999999998,2
S,B,HORU,BM,cv,3.872983346207417,14,0.00125033333333333,1
S,B,HYFIC,BM,cv,3.7391549530655652,13.384615384615385,0.24244047252747244,13
S,B,HYVE,BM,cv,2.761836497581223,12.333333333333334,0.18129833333333334,3
S,B,IPLA2,BM,cv,3.872983346207417,14,0.00194,1
S,B,IPPU4,BM,cv,3.720137090021635,13.857142857142858,0.038338095238095234,7
S,B,LEDE,BM,cv,3.062559779793649,12.6,0.027548,5
S,B,LEFE,BM,cv,3.872983346207417,14,0.11886333333333333,3
S,B,LIIN2,BM,cv,3.872983346207417,14,0.093775,1
S,B,LIPU4,BM,cv,3.3088888459525574,13.214285714285714,0.01944619047619047,14
S,B,MAFE,BM,cv,3.3710122904904924,13.142857142857142,0.04656,14
S,B,MAPIP,BM,cv,3.359835948974024,13,0.07954771428571428,7
S,B,MELE2,BM,cv,3.446056355551427,12.923076923076923,0.23106605128205127,13
S,B,MIAL4,BM,cv,2.9786035579921233,11.714285714285714,0.285076,7
S,B,MILI3,BM,cv,2.856676085309326,12,0.1466890476190476,7
S,B,MUAR2,BM,cv,3.0415120423802557,12.347826086956522,0.051219781366459494,23
S,B,"NAHI",BM,cv,3.8729833462074175,14,0.00808333333333333,1
S,B,OECA10,BM,cv,3.3146626092103606,12.75,0.14873756944444444,24
S,B,PEFE,BM,cv,0.7909760141786449,2,1.3838333333333332,1
S,B,PHCR,BM,cv,3.1936833797511652,12.666666666666666,0.05431999999999999,9
S,B,PLJA,BM,cv,2.1644312267812054,6.916666666666667,4.499452222222222,12
S,B,PLPA2,BM,cv,1.7770536996113226,7.066666666666666,0.16879235555555555,30
S,B,PSTAT,BM,cv,3.872983346207417,14,0.00125033333333333,1
S,B,SATR12,BM,cv,2.4510143195120855,10.6,0.2912722222222222,30
S,B,SCBR2,BM,cv,2.0699329641089372,6,0.92542705,4
S,B,SEBA3,BM,cv,3.1341159488148582,12.8,0.015003999999999997,5
S,B,SEDI3,BM,cv,3.3765753016169926,13,0.16684888888888888,3
S,B,SEFLF,BM,cv,3.626907144835086,13.533333333333333,0.48188666666666663,15
S,B,SOEL,BM,cv,2.385694150476673,10.142857142857142,0.09944761904761905,7
S,B,SPHA,BM,cv,2.7424077071650794,9.842105263157896,0.6801622807017544,19
S,B,SPORO,BM,cv,2.234895193324902,8.4,1.3959565733333332,25
S,B,SPPO6,BM,cv,3.662495970876964,13.666666666666666,0.04918944444444444,6
S,B,STPA4,BM,cv,2.207945295172946,7.75,0.7549208333333334,4
S,B,TECO,BM,cv,2.7862449883888223,11.5,0.10732027777777778,6
S,B,TOAN,BM,cv,3.872983346207417,14,0.0026944444444444364,3
S,B,ZIGR,BM,cv,3.092601880187617,12,0.12756,5
S,C,APRAH,BM,cv,3.872983346207417,14,0.03125833333333333,1
S,C,ARIST,BM,cv,2.7845948363280213,10,2.5795558888888888,6
S,C,ASTRA,BM,cv,3.096296629858407,11.941176470588236,0.25458948627450984,17
S,C,BAABA,BM,cv,2.7222305975174037,11.2,0.4943264,10
S,C,BADI,BM,cv,3.872983346207417,14,0.00254,1
S,C,BAMU,BM,cv,3.872983346207417,14,0.003750999999999995,2
S,C,BOER4,BM,cv,2.4574307848189494,9.416666666666666,1.7986573333333333,12
S,C,CHCO,BM,cv,3.872983346207417,14,0.00625166666666666,1
S,C,CHCO2,BM,cv,3.872983346207417,14,6.666666666666666e-4,1
S,C,CHER2,BM,cv,2.515972094492581,9.555555555555555,0.8522059259259259,9
S,C,CHSES,BM,cv,3.872983346207417,14,2.4826666666666667e-4,1
S,C,COCA5,BM,cv,3.8729833462074175,14,0.03233333333333333,1
S,C,CRCR3,BM,cv,2.8768759225680878,11.257142857142858,0.38138739047619047,35
S,C,DAPU7,BM,cv,2.054472695084116,8.777777777777779,0.0986626524074074,36
S,C,DEPI,BM,cv,3.0352319606017146,11.64,0.6460222266666666,25
S,C,DIWI2,BM,cv,3.872983346207417,14,0.00161666666666666,1
S,C,ELEL5,BM,cv,2.1069636415721216,9,3.881166666666666,1
S,C,ERAB2,BM,cv,3.001774129426814,13,0.00501166666666666,2
S,C,GLBI2,BM,cv,3.872983346207417,14,0.00625166666666666,1
S,C,GRCL,BM,cv,1.9550596456508196,7.333333333333333,5.193552222222222,3
S,C,GUSA2,BM,cv,2.9412786239727233,11.0625,6.365095666666667,32
S,C,GUSP,BM,cv,3.7544895180179165,13.5,0.3125833333333333,2
S,C,HENE5,BM,cv,3.872983346207417,14,0.1680416666666667,2
S,C,HODR,BM,cv,1.782885585946928,8,0.457064,5
S,C,HYFIC,BM,cv,3.872983346207417,14,0.010049555555555551,6
S,C,IPPU4,BM,cv,2.9584515233344795,11.5,0.04135972222222222,24
S,C,LACO13,BM,cv,3.872983346207417,14,0.01131666666666666,1
S,C,LAOCO,BM,cv,3.0848768803666187,11.875,0.1035,24
S,C,LATR2,BM,cv,1.0147352170332649,2.727272727272727,46.29161260606061,33
S,C,LEFE,BM,cv,2.709096175861377,7.424242424242424,1.7546248484848486,33
S,C,LIPU4,BM,cv,3.872983346207417,14,0.008837777777777774,3
S,C,MAPIP,BM,cv,3.251416006968092,12.333333333333334,0.11866662222222223,15
S,C,MELE2,BM,cv,3.5972516099879814,13.555555555555555,0.2016423703703704,9
S,C,MESC,BM,cv,1.779506774934777,9.5,0.5038843333333334,2
S,C,MILI3,BM,cv,3.872983346207417,14,0.00981666666666666,1
S,C,MUAR,BM,cv,3.0495232475499527,13,0.015404999999999999,2
S,C,MUAR2,BM,cv,3.7730628020312333,13.333333333333334,0.5702280888888889,6
S,C,MUPO2,BM,cv,3.1127487012371318,12,4.682851233333334,7
S,C,"NAHI",BM,cv,3.872983346207417,14,0.04494333333333333,4
S,C,NONE,BM,cv,3.872983346207417,14,0.052,4
S,C,OECA10,BM,cv,3.872983346207417,14,0.01250333333333333,1
S,C,OPMA8,BM,cv,0.8914113327862643,2,92.25513333333332,1
S,C,OPPH,BM,cv,3.7622803203386193,13,10.9668,1
S,C,PHCR,BM,cv,3.349584251719316,13.15,0.016748666666666665,20
S,C,PLJA,BM,cv,1.2850403077358683,4,7.1009400000000005,4
S,C,PLPA2,BM,cv,3.040997227105075,10.904761904761905,0.08396907936507936,21
S,C,SAAB,BM,cv,3.872983346207417,14,0.01287,2
S,C,SCBR2,BM,cv,2.15387112708361,6.642857142857143,0.9844469261904762,14
S,C,SCLA6,BM,cv,3.872983346207417,14,0.15629166666666666,2
S,C,SEDI3,BM,cv,2.8705282709856186,11.666666666666666,0.2271297777777778,3
S,C,SOEL,BM,cv,3.095405803661526,11,0.09506666666666666,1
S,C,SPAI,BM,cv,3.872983346207417,14,0.105315,1
S,C,SPHA,BM,cv,3.872983346207417,14,8.333333333333334e-4,1
S,C,SPORO,BM,cv,3.034561944422615,11.142857142857142,2.1333034253968255,21
S,C,SPPO6,BM,cv,3.3601637025608753,12.555555555555555,0.18018403703703706,18
S,C,STEM,BM,cv,1.6083832291321978,9.7,0.2790666666666667,30
S,C,THAC,BM,cv,2.0211019250838587,8.666666666666666,2.558117111111111,9
S,C,THME,BM,cv,3.872983346207417,14,0.03125833333333333,1
S,C,THWR,BM,cv,3.872983346207417,14,0.06251666666666666,1
S,C,TOAN,BM,cv,3.314889221077309,13,0.03718333333333333,5
S,G,ALIN,BM,cv,3.872983346207417,14,0.003999999999999995,2
S,G,ALMA4,BM,cv,2.9703230733397064,12,0.2569435,2
S,G,APRAH,BM,cv,3.2113453661723,11.285714285714286,0.6001599999999999,7
S,G,ARIST,BM,cv,3.09264557369502,12,6.022023333333334,3
S,G,ASTRA,BM,cv,3.154932210890798,10.454545454545455,1.1675842272727273,22
S,G,BOER4,BM,cv,0.5999348601285781,0.2727272727272727,42.67284072727273,22
S,G,BOGR2,BM,cv,3.4616654474001245,13.666666666666666,0.39508444444444446,3
S,G,CHER2,BM,cv,1.7986600777103174,8.333333333333334,1.3824844444444444,3
S,G,CHSES,BM,cv,3.872983346207417,14,2.4826666666666667e-4,3
S,G,CRCR3,BM,cv,2.4796259171362616,9.5,0.713592,22
S,G,CYACF,BM,cv,2.1173151927766587,10.333333333333334,0.2984128888888889,3
S,G,DAPU7,BM,cv,2.90940538542692,10.25,0.11168851249999999,8
S,G,DEPI,BM,cv,2.9276022751614286,12.666666666666666,0.5877955925925926,9
S,G,EPTO,BM,cv,0.6135895979186845,0,21.4467,1
S,G,ERAB2,BM,cv,3.872983346207417,14,3.2333333333333335e-4,1
S,G,ERTE13,BM,cv,2.9596022641784447,11,0.08406666666666666,1
S,G,ESVIV,BM,cv,3.8729833462074175,14,0.00119666666666666,1
S,G,GAPU,BM,cv,3.872983346207417,14,0.013128499999999994,2
S,G,GUSA2,BM,cv,2.6239232602125457,10.777777777777779,7.846323703703704,18
S,G,HODR,BM,cv,2.3887865379817677,9.214285714285714,0.4404742857142857,14
S,G,IPPU4,BM,cv,1.9883989859548397,10.5,0.02360333333333333,2
S,G,LAOCO,BM,cv,3.1396087108337016,13,0.092,1
S,G,LATR2,BM,cv,2.323396716460913,8,35.151293333333335,2
S,G,LEFE,BM,cv,2.7558747345422114,9.5,1.399985,2
S,G,LIPU4,BM,cv,3.164342109212763,13.125,0.01305458333333333,8
S,G,MAFE,BM,cv,3.326559012292254,13.166666666666666,0.014118888888888887,6
S,G,MAPIP,BM,cv,3.092572757286311,11.75,0.4177367777777778,12
S,G,MIAL4,BM,cv,3.872983346207417,14,0.01250333333333333,1
S,G,MUAR2,BM,cv,3.453282704289472,12.5,0.3194274166666667,4
S,G,OECA10,BM,cv,3.0148561441724016,12.3125,0.11596841666666666,16
S,G,OPPH,BM,cv,2.828270354481808,12,6.5676000000000005,2
S,G,PHCR,BM,cv,2.6876645879034067,11.5,0.13403636363636365,22
S,G,PLJA,BM,cv,2.1538763822907563,9.333333333333334,0.7244844444444444,3
S,G,PLPA2,BM,cv,2.1156672207404843,7.5,0.25704448484848486,22
S,G,SATR12,BM,cv,3.647635012684873,13.75,0.13275291666666666,8
S,G,SCBR2,BM,cv,1.5579283574383624,6.5,0.45936768333333333,2
S,G,SCPA10,BM,cv,3.872983346207417,14,4.7866666666666663e-4,1
S,G,SOEL,BM,cv,3.872983346207417,14,0.00306666666666666,1
S,G,SPCOC,BM,cv,3.872983346207416,14,0.03847666666666667,1
S,G,SPLE,BM,cv,3.3380214495571785,13.5,0.016730666666666658,2
S,G,SPORO,BM,cv,1.9312936834794603,6.157894736842105,46.08930973333334,19
S,G,SPPO6,BM,cv,2.502934877305177,10.733333333333333,0.3306594222222222,15
S,G,STEM,BM,cv,1.716516405813988,11,0.208,1
S,G,TOAN,BM,cv,3.872983346207417,14,0.024527142857142855,7
S,P,AGHE5,BM,cv,3.872983346207417,14,0.01625433333333333,2
S,P,AMARA,BM,cv,3.872983346207417,14,0.01475,1
S,P,ARFEF,BM,cv,3.250547961936056,12.736842105263158,0.03947263157894736,19
S,P,ARIST,BM,cv,3.135500771439326,12.142857142857142,0.44292809523809523,21
S,P,ARLUL2,BM,cv,2.084723350323768,8.5,0.27857000000000004,2
S,P,ASTRA,BM,cv,2.7798804909664376,11.155555555555555,0.4430654014814815,45
S,P,BADI,BM,cv,2.4712547006106553,10.4,0.050546,70
S,P,BAPT,BM,cv,1.122655347640494,6,5.2476666666666665,1
S,P,BOCU,BM,cv,2.1693886412989305,7.833333333333333,1.4416695447149432,24
S,P,BOER4,BM,cv,1.6901828354891946,5.476923076923077,8.807735302564103,65
S,P,BOGR2,BM,cv,1.3061639567456924,5.195121951219512,6.051123691056911,82
S,P,BOHI2,BM,cv,2.3346197209524204,9.714285714285714,0.41006444444444445,63
S,P,BRBR2,BM,cv,3.8729833462074175,14,0.08127166666666666,1
S,P,BRCA3,BM,cv,3.256280973083848,13.5,1.1464133333333333,2
S,P,CHCHC3,BM,cv,2.4960835450994616,11.875,0.057985499999999995,24
S,P,CHCO,BM,cv,3.872983346207417,14,0.018755,2
S,P,CHCO2,BM,cv,2.8946239478017386,12,0.009219999999999999,5
S,P,CHER2,BM,cv,2.571172060445773,10,0.29094333333333333,6
S,P,CHFE3,BM,cv,2.236336366446765,10.346153846153847,0.057259128205128206,26
S,P,CHIN2,BM,cv,3.872983346207417,14,0.00161666666666666,1
S,P,CHSES,BM,cv,3.872983346207417,14,0.002042666666666665,2
S,P,CINE,BM,cv,2.638993314558738,13,0.00708,1
S,P,CRCI3,BM,cv,3.872983346207417,14,0.21255666666666664,1
S,P,CRCR3,BM,cv,3.0776120553485034,12.7,0.10833533333333333,10
S,P,CYIMI,BM,cv,2.940356871910564,10.777777777777779,33.376908888888885,18
S,P,DAFO,BM,cv,0.5400576994075224,2,17.9228,1
S,P,DAPU7,BM,cv,3.872983346207417,14,0.00633733333333333,1
S,P,DEPI,BM,cv,3.4688424263047244,13.173913043478262,0.2001620579710145,23
S,P,DRCUC,BM,cv,3.6001886192902415,13.428571428571429,0.007898571428571425,7
S,P,ECCOC,BM,cv,2.5931978304488084,7.666666666666667,2.0953633333333332,3
S,P,ECFEF3,BM,cv,3.47164905669119,13.666666666666666,1.8907333333333334,3
S,P,ECIN2,BM,cv,3.872983346207416,14,1.0770000000000002,1
S,P,ELEL5,BM,cv,2.8173303523026454,12.1875,0.16373291666666667,16
S,P,ERCI,BM,cv,3.8729833462074175,14,0.00265833333333333,1
S,P,ERCI6,BM,cv,3.483084050644502,13.285714285714286,0.37111428571428573,7
S,P,ERFL,BM,cv,2.971327949919106,11.571428571428571,0.11116266666666666,14
S,P,ERWR,BM,cv,2.853097207900924,11.142857142857142,0.2286415238095238,7
S,P,FAPA,BM,cv,3.872983346207417,14,0.32293333333333335,1
S,P,FUCR,BM,cv,2.9483931588847136,13,0.10211055555555555,3
S,P,GIME,BM,cv,3.215800354303903,12.931034482758621,0.02868747126436781,29
S,P,GLBI2,BM,cv,3.3018131244264963,13.176470588235293,0.051815284313725486,68
